,வாக்கியங்கள்
241, ஈச்சை ஓலைகளைமுடைந்து செய்த தட்டிகளாலும் கோரைப்புல்பாய்களாலும் மரப்பட்டைநார் நெய்து செய்யப்பட்ட திரைகளாலும் கட்டப்பட்டிருந்த வேள்விக்கூடத்தின் வட்டவடிவமான மைய அரங்கை ஒட்டி இருபக்கமும் துணைப்பந்தல்கள் இணைக்கப்பட்டிருந்தன
242, பந்தல்களைத் தாங்கிய வண்ணம்பூசப்பட்ட மூங்கில்தூண்கள் ஈச்சங்குலைகளாலும் தளிரோலைகளாலும் அலங்கரிக்கப்பட்டு பசுங்காடுபோலச் செறிந்திருந்தன
244,பந்தலின் மறுபக்கத்தில் கார்மிகர்கள் வரும் பாதை
245, அதன் வழியாக மூங்கில்களில் தொங்கிய கூடைகளில் மலர்களும் இலைகளும் நெய்யும் தூபங்களும் வந்துகொண்டிருந்தன
246, அரசகுலத்தவர் வரும் பாதை எதிரே இருந்தது
247, வலப்பக்கம் வாழைப்பூ போல செந்நிற மரவுரியாடை அணிந்த முனிவர்கள்
248, இடப்பக்கம் சங்குக்குவியல்கள் போல வெண்ணிற ஆடையணிந்த வைதிகர்கள்
249, நடுவே சென்று மேலும் இரண்டாகப் பிரிந்த பந்தல்களில் ஒருபக்கம் செந்நிற தலைப்பாகைகள் அணிந்த ஷத்ரியர்
250, மறுபக்கம் பொன்னிறத் தலைப்பாகைகள் அணிந்த வைசியர்
251, அப்பால் நீலநிறத்தலைப்பாகை அணிந்த சூத்திரர்
252, ஒவ்வொரு பகுதியிலும் பெண்களுக்கான இடம் தனியாக பகுக்கப்பட்டிருந்தது
254,வேள்வியதிபரான வைசம்பாயனர் வேள்விக்குளத்தின் வலப்பக்கம் மணைமேல் விரிக்கப்பட்ட தர்ப்பைப்பரப்பு மேல் அமர்ந்திருந்தார்
255, ஆஸ்திகன் அருகே சென்று அவரை வணங்கினான்
256, தன் குலத்தையும் தந்தையின் பெயரையும் சொன்னபின்பு முனிவர்களின் இடத்துக்குச் சென்று அமர்ந்துகொண்டான்
257, நாற்பதுநாட்களுக்கு முன்பு அரணிக்கட்டையைக் கடைந்து உருவாக்கப்பட்ட நெருப்பு வேள்விக்குளத்தில் ஹோதாக்களால் ஒவ்வொரு கணமும் ஊட்டப்பட்டு பொன்னிறத்தில் எழுந்தாடிக்கொண்டிருந்தது
259,வெளியே மங்கல வாத்தியங்கள் முழங்கின
260, பல்லியமும் கொம்பும் பெருமுழவும் மணியும் சேர்ந்து கலந்த ஒலியுடன் வேதபண்டிதர்களின் வேதகோஷம் இணைந்து ஒலித்தது
261, முதலில் கட்டியம் சொல்லும் கோல்காரன் உள்ளே வந்தான்
262, கையில் பெரிய பொன்னாலான தலைக்கோலை வைத்திருந்தான்
263," மிடுக்குடன் உள்ளே வந்து அவைமேடை மேல் ஏறி நின்று தலைக்கோலை மேலே தூக்கி உரக்கக் கூவினான் “ஜெயவிஜயீபவ! அஸ்தினபுரத்தை ஆளும் வேந்தர், அத்திரி முனிவரின் கொடிவழிவந்தவர், குருகுலத்தோன்றல் பரீட்சித் மாமன்னரின் புதல்வர், மண்ணுக்கும் விண்ணுக்கும் இனியவர், பாரதவர்ஷத்தின் தலைவர் ஜனமேஜய மகாசக்ரவர்த்தி எழுந்தருள்கிறார்!”"
264,மங்கலவாத்தியக்குழு முதலில் உள்ளே வந்தது
265, அதைத்தொடர்ந்து பூரண கும்பம் ஏந்திய வைதிகர் நீர்தெளித்துக்கொண்டு வந்தனர்
266, பின்னர் காவல் வீரர்கள் கவச உடை அணிந்து ஆயுதங்களுடன் வந்தனர்
267," தம்பியரான சுதசேனரும் உக்ரசேனரும் பீமசேனரும் உருவிய வாட்களுடன் சூழ்ந்து வர, முன்னால் புரோகிதர்கள் வேதகோஷமிட்டு அட்சதை வீசி வாழ்த்த, அரங்கிலிருந்த முனிவர்கள் மலர்வீசி ஆசியளிக்க, ஆரங்களிலும் காதுகளின் குண்டலங்களிலும் புஜகீர்த்திகளிலும் கங்கணங்களிலும் கச்சைமணியிலும் செம்மணிகள் சுடர்விட அக்னிதேவன் எழுந்தருளியது போல் ஜனமேஜய சக்ரவர்த்தி பட்டத்தரசி வபுஷ்டையுடன் உள்ளே வந்தார்"
269,குருவம்சத்தின் ஐம்பத்திரண்டாவது தலைமுறையைச்சேர்ந்த ஜனமேஜயன் தன் பதின்மூன்றாவது வயதில் மன்னனானபோது அவன் வெல்வதற்கு நாடுகள் ஏதும் இருக்கவில்லை
270, அவன் தீர்ப்பதற்குரிய சிக்கல்களேதும் எஞ்சவில்லை
271, அவன் சித்தமோ எரிதழல் காற்றை உணர்வதுபோல காலத்தை ஒவ்வொரு கணமும் அறிந்துகொண்டிருந்தது
272, ஆகவே அவன் பகடையாட்டத்தில் ஈடுபாடுகொண்டவனாக ஆனான்
273, ஏணியும் பாம்பும் கொண்ட வரைபடத்தின் கட்டங்களில் மானுடவாழ்க்கையின் அனைத்து விசித்திரங்களும் உறைந்திருப்பதை சிறிது சிறிதாக அவன் காண ஆரம்பித்தான்
274, ஒரு பகடையை புரளவைத்து பன்னிரண்டாகவோ சுழியாகவோ ஆகச்செய்யும் விசையின் மர்மங்களே அவன் சிந்தனையை நிறைத்திருந்தன
275, இரவில் மென்மையான துவர்ப்பும் கசப்பும் கலந்த இனிய மதுவின் போதையில் தூங்கும்போதுகூட அவன் பகடைகளை மனதுக்குள் உருட்டிக்கொண்டிருந்தான்
276, கனவுக்குள் ஏணிகளில் ஏறி பாம்புகளால் கவ்வப்பட்டு சரிந்து மீண்டுவந்தான்
278,ஆட்டத்தின் தருணத்தில் ஒருநாள் சேவகன் வந்து உஜ்ஜாலகத்தில் வசிக்கும் தவமுனிவரான உத்தங்கர் வந்திருப்பதாக சேதி சொன்னபோது அவரை விருந்தினருக்கான ஆசிரமத்தில் தங்கவைத்து வேண்டிய காணிக்கைகளைக் கொடுத்து அனுப்பும்படி திரும்பிப்பாராமலேயே ஆணையிட்டான்
279," சேவகன் சென்ற சற்றுநேரத்தில் மரவுரியணிந்த கரிய உடலும், நீண்ட தாடியும் சடைக்கற்றைமுடிகளுமாக உத்தங்கர் வந்து அவன் முன் நின்றார்"
280, உரக்கச்சிரித்தபடி ‘பகடை ஆடுகிறாயா? ஆடு ஆடு…
281,உன் குலத்தை ஒருநாளும் நாகத்தின் நாக்கு விட்டுவிடப்போவதில்லை…உன் தந்தையைக் கடித்த நாகம்தான் அந்த ஆடுகளத்திலும் இருக்கிறது’ என்றார்
283,அதிர்ச்சியுடன் எழுந்து “என்ன சொன்னீர்கள்? என் தந்தையை நாகம் கடித்ததா?’ என்றான் ஜனமேஜயன்
284, உத்தங்கர் உரக்கச்சிரித்து ‘நினைத்தேன்
285, ஒவ்வொரு கணமும் நிகழும் விதியின் ஆட்டத்தைப்பற்றிய முழுமையான அறியாமை கொண்டவர் அல்லாமல் பிறர் இந்த போலி ஆடுகளத்தின் முன் குனிந்து அமரமுடியாது’ என்றார்
286," ‘ஆடு ,ஆடு, உன்னைத்தேடி உனக்கான விஷம் வந்துசேரும்’ என்றபின் திரும்பிச்சென்றார்"
287, ‘மாமுனிவரே…
288,என்ன சொல்கிறீர்கள்?’ என்றபடி ஜனமேஜயன் அவர் பின்னால் சென்றான்
289, ஆனால் அவர் வேகமாக திரும்பிச்சென்று அரண்மனையைவிட்டு நீங்கிவிட்டார்
291,செய்திகேட்டு மயங்கி விழுந்த அவளுடைய நாடியைப்பிடித்து சோதனைசெய்த அரண்மனை மருத்துவச்சிதான் அவள் கருவுற்றிருப்பதைச் சொன்னாள்
292, கண்விழித்தெழுந்து உடன்கட்டை ஏறவிரும்பி கதறிய அவளை மூத்தவர்கள் கட்டுப்படுத்தினர்
293, குருவம்சத்தின் விதை வயிற்றில் வளர்கையில் அவள் சிதையேறுவது நூல்நெறியல்ல என்றனர்
294, விதவைகள் நிறைந்த அந்தப்புரத்தின் குளிர்ந்த அமைதியில் தன்னை பூமியுடன் பிணைக்கும் வயிற்றை தொட்டுத்தொட்டு சபித்தபடி அவள் ஒவ்வொரு நாளாக வாழ்ந்தாள்
295, நாற்பத்தோராம் நாள் அவளை நதிக்கரைக்கு கொண்டுசென்று வண்ண ஆடைகளையும் அணிகளையும் கூந்தலையும் நீக்கி விதவைக்கோலம் கொள்ளச்செய்தனர்
296, அங்கிருந்து மருத்துவச்சிகள் சூழ்ந்த அரண்மனை உள்ளறையின் ஆழத்துக்கு அவள் சென்றாள்
298,அதன்பின் அவள் அதுவரையிலான வாழ்க்கையை முற்றிலும் மறக்க முயன்றுகொண்டிருந்தாள்
299," உத்தரநாட்டின் பனிபடிந்த இமயமுகடுகள் வெண்பந்தலாகத் தெரியும் வடதிசையையும், பூவனம் நோக்கி திறக்கும் சாளரங்கள் கொண்ட அரண்மனையில் கழித்த தன் இளமைப்பருவத்தையும், அங்கிருந்து வெம்மை தகிக்கும் சமவெளியையும் அசைவில்லாததுபோலத் தோன்றும் நீலநதிகளையும் கொண்ட இந்த தேசத்துக்கு வந்ததையும், விளையாட்டுத்தோழனாகிய கணவனை அடைந்ததையும் எல்லாம் பிரக்ஞையால் தேய்த்து தேய்த்து அழிக்கப்பார்த்தாள்"
300, சிந்தை தீப்பற்றி எரியும்போது அவளுடைய உடல் நடுநடுங்கி கைவிரல்களெல்லாம் முறுக்கிக்கொள்ளும்
301, பற்கள் கிட்டித்து உதடுகள் கடிபடும்
302, அப்போது அவளுடன் உத்தரதேசத்தில் இருந்து வந்த செவிலி அவள் நாசியில் மயக்கத்தூபத்தைக் காட்டி தூங்கவைத்தாள்
304,"வெளிறி மெலிந்து, கன்னங்கள் வறண்டு, வாய் புண்ணாகி, கண்கள் குழிந்து, புதைகுழியிலிருந்து தோண்டி எடுக்கப்பட்ட சடலம் போலிருந்த உத்தரை ஆறுமாதத்திலேயே குழந்தையைப் பெற்றெடுத்தாள்"
305, அக்குழந்தை வெளிவந்த குருதியேகூட செந்நிறமிழந்து மஞ்சளாக இருந்தது என்றனர் மருத்துவச்சிகள்
306, குளிர்ந்த கரங்களுடன் நடுங்கும் உதடுகளன்றி உயிரசைவே இல்லாமல் கிடந்த அவளைப்போலவே குழந்தையும் அசைவில்லாமல் கண்மூடிக் கிடந்தது
307, மருத்துவச்சி அதை மெல்லத்தூக்கி அது உயிருடனிருக்கிறதா என்று பார்த்தாள்
308, அதன் உடலுக்குள் எங்கோ மெல்லிய இதயத்துடிப்பை உணர்ந்தது உண்மையா தன் கற்பனையா என அவள் ஐயம் கொண்டாள்
310,குருகுலத்தின் அத்தனை வழித்தோன்றல்களும் குருஷேத்ரக் களத்தில் இறந்தபின் எஞ்சிய ஒரே ஒரு குழந்தை என்பதனால் அதன் வருகையை நாடே எதிர்பார்த்திருந்தது
311, மாமன்னர் யுதிஷ்டிரர் அஸ்வமேத வேள்வி ஒன்றை தொடங்கவிருந்த நேரம்
312, ஐம்பத்தாறுநாட்டு மன்னர்களும் அரண்மனை வளாகத்தில் வந்து தங்கியிருந்தனர்
313, செய்திகேட்டு யுதிஷ்டிரர் சோர்ந்து முகம்பொத்தி அரியணையில் சரிந்துவிட்டார்
314, அரண்மனையெங்கும் அழுகுரல்கள் ஒலிக்க ஆரம்பித்தன
315, வீரகுடி வழக்கப்படி குழந்தையை வாளால் போழ்ந்து வடதிசை மயானத்தில் அடக்கம் செய்யவேண்டுமென்று நிமித்திகர் சொன்னார்கள்
316, பட்டத்தரசி திரௌபதி கண்ணீர் மார்பில் சொட்ட ஓடிச்சென்று நதிக்கரை அரண்மனையில் தங்கியிருந்த யாதவமன்னன் கிருஷ்ணனின் முன்னால் நின்றாள்
317, ஞானியான அவனே தன் குலத்தை அழியாமல் காப்பாற்றவேண்டுமெனக் கோரினாள்
319,ஈற்றறைக்கு வந்து குழந்தையைக் கண்டதுமே கிருஷ்ணன் புரிந்துகொண்டான்
320, அதன் அன்னையின் துயரமெல்லாம் தேங்கிய சிமிழ் போலிருந்தது குழந்தை
321," இக்கணமே இதை இதன் அன்னையிடமிருந்து பிரிக்கவேண்டும், ஒரு துளி தாய்ப்பால்கூட இது அருந்தக்கூடாது என கிருஷ்ணன் சொன்னான்"
322, யாதவகுலமருத்துவர்கள் பிரம்மாண்டமான கடற்சிப்பி ஒன்றைத் திறந்து அந்த உயிருள்ள மாமிசத்தின் வெம்மைக்குள் குழந்தையை வைத்து மூடி எடுத்துக்கொண்டு துவாரகைக்கு கொண்டுசென்றார்கள்
323, துவாரகையில் மேலும் நான்குமாதம் உயிருள்ள சிப்பிக்குள் இருந்து அது வளர்ந்தது
324, அக்குழந்தைதான் உன் தந்தை பரீட்சித் என்றார் உத்தங்கர்
326,உன் பாட்டி உத்தரை அதன்பின் உயிர்தரிக்கவில்லை
327, தன் உடல் நீங்கி வெளியே வந்துகிடந்த குழந்தையை உடைந்த கட்டியிலிருந்து வெளிவந்த சீழைப் பார்க்கும் நிம்மதியுடன் பார்த்தபின் கண்களை மூடி மெல்ல விலகிப்படுத்துக்கொண்டாள்
328, தன்னிலை மீளாமலேயே நான்காம் நாள் அவள் இறந்துபோனாள்
329, சிப்பிகளுக்குள் வளர்ந்த சோதனையாலேயே அவனை அனைவரும் பரீட்சித் என்று அழைத்தனர்
330," தாயின் இதயத்துடிப்புகள் கேளாமால், முலைச்சுவை அறியாமல் பரீட்சித் வளர்ந்தான்"
331, அவன் அறிந்ததெல்லாம் உப்பு சுவைக்கும் கடல்மணத்தை மட்டும்தான்
332, எஞ்சிய வாழ்நாளெல்லாம் அவன் மண்ணில் கால்நிலைக்காதவனானான்
334,மண்ணிலிறங்கியதும் உயிர்வெறியுடன் உண்டும் குடித்தும் பரீட்சித் வளர்ந்தான்
335, நூல்களும் நெறிகளும் வித்தைகளும் கற்றுக்கொடுக்கப்பட்டாலும் அவனுக்கு அவன் குலக்கதைகள் ஏதும் சொல்லப்படவேயில்லை
336, ஒருமுறைகூட அவன் அஸ்தினபுரிக்கு அனுப்பப்படவுமில்லை
337, எனவே அஸ்தினபுரியை கண்ணுக்குத்தெரியாத இருள்போல நிறைத்திருந்த மாபெரும் போரின் நினைவுகள் எதையும் அவனறியவில்லை
338," வேட்டையில் விருப்பம்கொண்டவனாகவும் ,நேற்றும் நாளையும் இல்லாத துடுக்கு கொண்ட இளைஞனாகவும் அவன் வளர்ந்தான்"
339, பாட்டிவழி உறவான மாத்ரதேசத்தில் இருந்து மாத்ரிதேவியை மணம்செய்துகொண்டான்
341,பரீட்சித்துக்கு பதினெட்டு வயதிருக்கையில் சக்ரவர்த்தி யுதிஷ்டிரர் அவனை இந்திரப்பிரஸ்தத்தின் இளவரசனாக பட்டம்சூட்டி ஆட்சியதிகாரத்தை யுயுத்சுவிடம் கையளித்துவிட்டு தன் சகோதரர்களுடன் மகாபிரஸ்தானம் சென்றார்
342, ஆனால் இருபத்தெட்டு வயதுவரை பரீட்சித் அரசபதவி ஏற்காமல் காட்டில் வேட்டையாடி அலைந்தான்
343," ஜனமேஜயன், சுருதசேனன், உக்ரசேனன், பீமசேனன் என்னும் மைந்தர்கள் பிறந்தபின்னரும் அவன் செங்கோல் ஏந்த சித்தமாகவில்லை"
345,ஆனால் குருகுலத்து மன்னர்களின் வாழ்க்கை என்பது அவர்களை நிழலெனத்தொடரும் நாகங்களுடன் அவர்கள் ஆடும் ஒரு பகடையாட்டம் மட்டுமே
346, வேட்டைக்காக காட்டுக்குச்சென்ற பரீட்சித் அங்கே மரத்தடியில் தவம்செய்துகொண்டிருந்த சமீகர் என்ற முனிவரைக் கண்டான்
347, பேசாநெறி கொண்ட அவரிடம் இந்தப்பாதை எங்குசெல்கிறது என்று கேட்டான்
348, அவர் பதில் சொல்லாததைக் கண்டு சினம்கொண்டு சட்டென்று திரும்பி அங்கே புதரில் நெளிந்த பச்சைப்பாம்பொன்றைப் பிடித்து மரத்திலறைந்து கொன்று அவர் கழுத்தில் போட்டுவிட்டு திரும்பிவிட்டான்
350,"ஜனமேஜயா, அந்தப்பாம்பின் பெயர் ஆனகன் என்றார் உத்தங்கர்"
351, மண்ணுலகை நிறைத்திருக்கும் நாகர்களின் உலகைச்சேர்ந்தவன் அவன்
352, குருகுலமன்னர்களை ஒவ்வொருகணமும் நாகங்கள் பின் தொடர்ந்துகொண்டிருந்தன
353, அன்றைய பணியை ஆனகன் செய்துகொண்டிருந்தான்
354, ஒவ்வொரு கணமும் ஒரு விதியின் தருணத்தை எதிர்நோக்கியிருந்த நாகங்கள் அந்தக்கணத்திலிருந்து இன்னொரு கதையை தொடங்கின
355, ஏழு நாகங்கள் ஏழு முனிகுமாரர்களாக உருவம் கொண்டு சமீகரின் மகன் கவிஜாதனை தேடிச்சென்றன
356, வடக்குமலைகளில் குரங்குமனிதர்களின் வழிவந்த குலங்களில் ஒன்றைச்சேர்ந்த பெண்ணுக்கும் சமீகருக்கும் பிறந்தவன் அவன்
357, வனத்தில் கனிகள்தேடச்சென்ற கவிஜாதனை விளையாட அழைத்த நாகங்கள் அவனை எள்ளி நகையாடின
358, ‘’செத்த பாம்பை அணிந்த உன் தந்தை சிவனுக்கு நிகரானான்’ என்றன
360,சினம்கொண்ட கவிஜாதன் பரீட்சித்தைத்தேடி வந்தான்
361, இரவில் தன் அரண்மனை லதாமண்டபத்தில் மதுக்கோப்பையுடன் பரீட்சித் தனித்திருக்கையில் மரங்களின் வழியாக குரங்குபோல ஒருவன் தாவித்தாவி வருவதைக் கண்டு எழுந்து திகைத்து நின்றான்
362, அருகே வந்து இறங்கிய கவிஜாதன் குரங்குமுகத்தில் கடும்சினத்தால் சிரிப்பு போல விரிந்த பற்களைக் காட்டி ‘நான் உன்னால் அவமதிக்கப்பட்ட சமீகரின் மைந்தன்
363, என் பெயர் கவிஜாதன்
364, உன்னிடம் உன் விதியைச் சொல்லிவிட்டுச் செல்வதற்காக வந்தேன்’ என்றான்
365," ‘நீ யாரென்று நீ அறியவில்லை, நீ என்னவாகப்போகிறாய் என்றும் நீ அறியவில்லை"
366, பிறக்கும்போது தன் விதியை எதிர்காலமாகக் கொண்டு பிறப்பவனே மனிதன்
367, நீ இறந்தகாலத்தையே விதியாகக் கொண்டு பிறந்திருக்கும் சபிக்கப்பட்டவன்
368,’
369,"பிரமித்து நின்ற பரீட்சித்திடம் கவிஜாதன் சொன்னான், ‘உன் குலவரலாறு முழுக்க உன் குருதியில் இருக்கிறது"
370, அவற்றின் மீது ஒரு மெல்லிய பட்டாடையைப்போட்டு மூடிவிட்டுச் சென்றிருக்கிறான் யாதவகிருஷ்ணன்
371, அதை நான் இதோ கிழிக்கப்போகிறேன்
372, நீ குருதிமழையில் பிறந்த எளிய காளான்
373, அதற்குமேல் ஒன்றுமில்லை…என்னுடன் வா
374, உனக்கு நீ பார்த்தேயாகவேண்டிய காட்சியொன்றைக் காட்டுகிறேன்
375,’
376,மொத்த அறிவும் அதை விலக்கியபோதிலும் பரீட்சித்தால் செல்லாமலிருக்க முடியவில்லை
377, கவிஜாதன் அவனைத் தூக்கி மரக்கிளைகள் வழியாகவே கொண்டு சென்றான்
378, காடுகளின் மீது பரவிய இலைப்பரப்புகளுக்குமேல் நீரில் நீந்துவதுபோலச் சென்றுகொண்டிருந்தான்
379, அது சுக்லபட்ச பதின்மூன்றாவது நாள்
380, வானத்தில் முழுநிலவு நிறைந்திருந்தது
381, பின்னிரவில் கவிஜாதன் பரீட்சித்தை ஒரு பெரிய வெட்டவெளிக்குக் கொண்டுசென்று இறக்கினான்
382, அது எந்த இடம் என்று பரீட்சித் வினவினான்
383," அஸ்தினபுரியின் ஒவ்வொரு மனமும் அறிந்த இடம், முப்பதாண்டுகளாக எவருமே வந்திராத இடம் என்றான் கவிஜாதன்"
384," இங்கே வருவதற்கு மானுடப்பாதைகள் இல்லை, நரிகளின் தடம் மட்டுமே உள்ளது"
385, இந்த மண்ணின் பெயர்தான் குருஷேத்ரம்
388,ஓவியம்: ஷண்முகவேல்
389,[பெரிதாகப் பார்க்க படத்தின்மேல் சொடுக்கவும்]
390,நிலவின் ஒளியில் கண்ணுக்கு எட்டிய தொலைவுவரை விரிந்திருந்த செம்மண் பொட்டலில் சிறிய கோபுரங்கள் போல சிதல்புற்றுகளும் ஆங்காங்கே ஒரு சிலமுள்மரங்களும் நின்றன
391, பித்தெழுந்த கனவில் நிற்பவன் போல பரீட்சித் அந்த மண்ணில் நின்றான்
392, அக்கணமே அவன் அனைத்தையும் தனக்குள் கண்டுவிட்டான்
393, நிலையழிந்தவனாக அந்த மண்ணில் ஓடி ஓடிச் சுழன்றுவந்தான்
394, ஒரு புற்றை அவன் உடைத்தபோது உள்ளே ஓர் யானையின் எலும்புக்கூடு அதன் மத்தகத்தைப் பிளந்த வேலுடன் இருக்கக் கண்டான்
395, பின்பு வெறிகிளம்பி ஒவ்வொரு புற்றாக உடைத்து உடைத்து திறந்தான்
396, ஒவ்வொன்றுக்குள்ளும் வெள்ளெலும்புக் குவியல்களைக் கண்டான்
397, ஒரு தருணத்தில் திகைத்து நின்று பின்பு தளர்ந்து விழுந்தபோது அந்த மண் ஒரு குடல்போல செரித்துக்கொண்டிருப்பதன் ஒலியைக் கேட்டான்
399,அங்கே ஆடும் நிழல்களை கவனிக்கும்படி கவிஜாதன் சொன்னான்
400, ஒளியைக் கண்ட கண்களை நிழலைக்காணும்படி பழக்கியபோது பரீட்சித் நாகங்களைக் கண்டான்
401, இருண்ட மெல்லிய நிழலாட்டங்களாக நாகங்கள் அங்கே நிறைந்திருந்தன
402, கண் தெளியும்தோறும் நாகங்கள் பெருகிக்கொண்டே சென்று ஒரு கட்டத்தில் கருநாகங்களாலான மாபெரும் வலையொன்றைக் காணமுடிந்தது
403, நெளிந்துகொண்டிருந்த அந்தவலையில் அந்த படுகளம் சிக்கி அசைந்துகொண்டிருப்பதாகத் தோன்றியது
404, அச்சத்துடன் அவன் கவிஜாதனை நெருங்கி அவன் கரங்களை பற்றிக்கொண்டான்
405, ‘நான் காட்டவிரும்பியது இதைத்தான் மன்னனே
406, நீ நாகங்களின் விளையாட்டுப்பாவை அன்றி வேறல்ல…
407,அதோ சுடர்விடும் அந்த இரு செவ்விழிகளும் நாகங்களின் அரசனான தட்சனுடையவை
408," இன்றில் இருந்து ஏழாம் நாள், மார்கழி மாதம் சப்தரிஷி விண்மீன்கள் ஏழும் ஒரே ராசியில் வந்து சேரும்போது நீ அவன் விஷக்கடியை ஏற்று உயிர்விடுவாய்’ என்றான் கவிஜாதன்"
410,காலையில் பரீட்சித்தை தேடிவந்த சேவகர்கள் அவனைக்காணாமல் திகைத்தனர்
411, நந்தவனத்தின் வாயில்களேதும் திறக்கப்பட்டிருக்கவுமில்லை
412, அமைச்சர்களும் பிறரும் சேர்ந்து தேடியபோது லதாமண்டபத்திலிருந்த புதர் ஒன்றுக்குள் உடல் நடுங்கி ஒடுங்கியிருந்த மன்னனை கண்டுபிடித்தனர்
413, காலடியோசை கேட்டதும் அவன் அதிர்ந்தான்
414, தொடுகையில் அவன் உடல் துள்ளித்துள்ளி விழுந்தது
415, கண்கள் கலங்கி கலங்கி வழிய பார்வை நிலையற்று அலைபாய்ந்தது
416, அவனால் ஒரு சொல்லும் பேசமுடியவில்லை
417, அவனை அள்ளிக் கொண்டுசென்று படுக்கவைத்தனர்
418, வேகம் மிகுந்த மதுவும் சித்தத்தை அமைதிசெய்யும் மருந்துகளும் கொடுத்து மெல்லமெல்ல அவனை மீட்டு எடுத்தனர்
420,பரீட்சித் அன்றே ரதமேறி கிளம்பிச்சென்று தன் குலகுருவான வைசம்பாயன மகரிஷியைக் கண்டு என்னசெய்வதென்று கேட்டான்
421, ‘ நாகங்கள் காமம் அகங்காரம் என்னும் ஆதிஇச்சைகளின் பருவடிவங்கள்
422, ஆதி இச்சைகளை வென்றவனை நாகங்கள் அண்டமுடியாது’ என்று நெறிநூல்களை ஆராய்ந்து வைசம்பாயனர் பதிலுரைத்தார்
423, அத்தனை இச்சைகளையும் அணைத்து விட்டு தனக்குள் தானே நிறைந்து தனித்திருந்தால் நாகங்கள் தீண்டவே முடியாதென்று வழிசொன்னார்
424, ‘ஆனால் அது மனிதர்களுக்கு எளியதல்ல
425, ஐந்தும் அடக்கி அகத்தையும் வென்ற முனிவர்களே தோற்றுவிடுவார்கள்’
426,’எனக்கு வேறு வழியில்லை குருநாதரே’ என்றான் பரீட்சித்
427, தன் அவைச்சிற்பிகளை அழைத்து அன்று மாலைக்குள் ஒரு தவச்சாலையை அமைத்தான்
428, அஸ்தினபுரிக்கு கிழக்கே இருந்த ஏரிக்குள் எட்டு தூண்களின்மீது அந்தச் சாலை அமைந்தது
429," அரச உடைகளைக் களைந்து, துறவுக்குரிய மரவுரி அணிந்து, தன் நாட்டை அமைச்சர்களிடம் ஒப்படைத்துவிட்டு, தன் உடைமைகளனைத்தையும் அறிஞர்களுக்கும் எளியவர்களுக்கும் கொடையளித்துவிட்டு பரீட்சித் அதற்குள் தஞ்சம்புகுந்தான்"
430, அறவோர் வகுத்த கடும் நோன்புகள் வழியாக தன் காமத்தையும் அகங்காரத்தையும் முழுமையாகவே தன்னிலிருந்து இறக்கிவைத்தான்
431, அச்சத்தால் நடுங்கும் உடலுடன் தன் நிழலை தானே பார்த்துக்கொண்டு அந்தச் சாலைக்குள் அவன் தனித்திருந்தான்
433,விதியின் தூதனாக வந்த தட்சன் அந்த நீரரணுக்கு வெளியே ஆறுநாட்கள் பரீட்சித்தின் நோன்பின் ஒவ்வொரு கணத்தையும் கவனித்தபடி இமையா விழிகளுடன் காத்திருந்தான்
434, விதியின் திட்டத்தை பரீட்சித் தன் நெறியால் வென்றுவிட்டானென்று அவன்கூட நினைத்தான்
435, ஏழாம்நாள் இரவில் நடுச்சாமம் முடிவதற்கு ஒருநாழிகைக்கு முன்னால் தன்னைக் காணவந்த வைதிகன் ஒருவனிடம் பரீட்சித் ‘எனக்கு இனி சோதனைகளேதுமில்லை
436, நான் காமத்தையும் அகங்காரத்தையும் முற்றிலும் வென்றுவிட்டேன்’ என்று சொன்னபோது அந்த அகங்காரத்தையே காரணமாகக் கொண்டு தட்சன் ஒரு சிறுபுழுவின் வடிவில் பரீட்சித்தின் தவச்சாலைக்குள் நுழைந்தான்
437, அன்றிரவு பரீட்சித் தன் நோன்புணவுக்காக மாதுளம்பழமொன்றை எடுத்தபோது தட்சன் அதற்குள்ளிருந்து சிறிய சிவந்த புழுவாகக் கிளம்பி பரீட்சித்தின் உதடுகளில் விஷமுத்தமிட்டான்
438, குருவம்சத்தின் ஐம்பத்தோராவது மன்னனும் நாகங்களின் விளையாடலுக்கு இரையானான்
440,உத்தங்கரின் கதையைக்கேட்டு ஜனமேஜயன் கண்ணீர் வடித்தான்
441, திரும்பி வந்தவன் சூதர்கள் அனைவரையும் வரவழைத்து தன் குலக்கதைகள் அனைத்தையும் ஒன்றுகூட மிச்சமில்லாமல் பாடக்கேட்டான்
442, நாகங்களின் வலையில் சிக்கிய சிறு பூச்சிகளே தானும் தன்குலத்து மூதாதையரனைவரும் என உணர்ந்தபின்பு தன் குலகுருவான வைசம்பாயனரை அழைத்து ஆலோசனை கேட்டான்
443, ’சர்ப்பசாந்தி வேள்விகள் வழியாக நாகங்களை நிறைவுசெய்யலாம்
444, அது ஒன்றே வழி’ என்றார் வைசம்பாயனர்
